"Kod";"Nazwa";"styczeń;ogółem;2005;[-]";"styczeń;ogółem;2006;[-]";"styczeń;ogółem;2007;[-]";"styczeń;ogółem;2008;[-]";"styczeń;ogółem;2009;[-]";"styczeń;ogółem;2010;[-]";"styczeń;ogółem;2011;[-]";"styczeń;ogółem;2012;[-]";"styczeń;ogółem;2013;[-]";"styczeń;ogółem;2014;[-]";"styczeń;ogółem;2015;[-]";"styczeń;ogółem;2016;[-]";"styczeń;ogółem;2017;[-]";"styczeń;ogółem;2018;[-]";"styczeń;ogółem;2019;[-]";"styczeń;ogółem;2020;[-]";"styczeń;ogółem;2021;[-]";"styczeń;ogółem;2022;[-]";"styczeń;ogółem;2023;[-]";"styczeń-luty;ogółem;2005;[-]";"styczeń-luty;ogółem;2006;[-]";"styczeń-luty;ogółem;2007;[-]";"styczeń-luty;ogółem;2008;[-]";"styczeń-luty;ogółem;2009;[-]";"styczeń-luty;ogółem;2010;[-]";"styczeń-luty;ogółem;2011;[-]";"styczeń-luty;ogółem;2012;[-]";"styczeń-luty;ogółem;2013;[-]";"styczeń-luty;ogółem;2014;[-]";"styczeń-luty;ogółem;2015;[-]";"styczeń-luty;ogółem;2016;[-]";"styczeń-luty;ogółem;2017;[-]";"styczeń-luty;ogółem;2018;[-]";"styczeń-luty;ogółem;2019;[-]";"styczeń-luty;ogółem;2020;[-]";"styczeń-luty;ogółem;2021;[-]";"styczeń-luty;ogółem;2022;[-]";"styczeń-luty;ogółem;2023;[-]";"styczeń-marzec;ogółem;2005;[-]";"styczeń-marzec;ogółem;2006;[-]";"styczeń-marzec;ogółem;2007;[-]";"styczeń-marzec;ogółem;2008;[-]";"styczeń-marzec;ogółem;2009;[-]";"styczeń-marzec;ogółem;2010;[-]";"styczeń-marzec;ogółem;2011;[-]";"styczeń-marzec;ogółem;2012;[-]";"styczeń-marzec;ogółem;2013;[-]";"styczeń-marzec;ogółem;2014;[-]";"styczeń-marzec;ogółem;2015;[-]";"styczeń-marzec;ogółem;2016;[-]";"styczeń-marzec;ogółem;2017;[-]";"styczeń-marzec;ogółem;2018;[-]";"styczeń-marzec;ogółem;2019;[-]";"styczeń-marzec;ogółem;2020;[-]";"styczeń-marzec;ogółem;2021;[-]";"styczeń-marzec;ogółem;2022;[-]";"styczeń-marzec;ogółem;2023;[-]";"styczeń-kwiecień;ogółem;2005;[-]";"styczeń-kwiecień;ogółem;2006;[-]";"styczeń-kwiecień;ogółem;2007;[-]";"styczeń-kwiecień;ogółem;2008;[-]";"styczeń-kwiecień;ogółem;2009;[-]";"styczeń-kwiecień;ogółem;2010;[-]";"styczeń-kwiecień;ogółem;2011;[-]";"styczeń-kwiecień;ogółem;2012;[-]";"styczeń-kwiecień;ogółem;2013;[-]";"styczeń-kwiecień;ogółem;2014;[-]";"styczeń-kwiecień;ogółem;2015;[-]";"styczeń-kwiecień;ogółem;2016;[-]";"styczeń-kwiecień;ogółem;2017;[-]";"styczeń-kwiecień;ogółem;2018;[-]";"styczeń-kwiecień;ogółem;2019;[-]";"styczeń-kwiecień;ogółem;2020;[-]";"styczeń-kwiecień;ogółem;2021;[-]";"styczeń-kwiecień;ogółem;2022;[-]";"styczeń-kwiecień;ogółem;2023;[-]";"styczeń-maj;ogółem;2005;[-]";"styczeń-maj;ogółem;2006;[-]";"styczeń-maj;ogółem;2007;[-]";"styczeń-maj;ogółem;2008;[-]";"styczeń-maj;ogółem;2009;[-]";"styczeń-maj;ogółem;2010;[-]";"styczeń-maj;ogółem;2011;[-]";"styczeń-maj;ogółem;2012;[-]";"styczeń-maj;ogółem;2013;[-]";"styczeń-maj;ogółem;2014;[-]";"styczeń-maj;ogółem;2015;[-]";"styczeń-maj;ogółem;2016;[-]";"styczeń-maj;ogółem;2017;[-]";"styczeń-maj;ogółem;2018;[-]";"styczeń-maj;ogółem;2019;[-]";"styczeń-maj;ogółem;2020;[-]";"styczeń-maj;ogółem;2021;[-]";"styczeń-maj;ogółem;2022;[-]";"styczeń-maj;ogółem;2023;[-]";"styczeń-czerwiec;ogółem;2005;[-]";"styczeń-czerwiec;ogółem;2006;[-]";"styczeń-czerwiec;ogółem;2007;[-]";"styczeń-czerwiec;ogółem;2008;[-]";"styczeń-czerwiec;ogółem;2009;[-]";"styczeń-czerwiec;ogółem;2010;[-]";"styczeń-czerwiec;ogółem;2011;[-]";"styczeń-czerwiec;ogółem;2012;[-]";"styczeń-czerwiec;ogółem;2013;[-]";"styczeń-czerwiec;ogółem;2014;[-]";"styczeń-czerwiec;ogółem;2015;[-]";"styczeń-czerwiec;ogółem;2016;[-]";"styczeń-czerwiec;ogółem;2017;[-]";"styczeń-czerwiec;ogółem;2018;[-]";"styczeń-czerwiec;ogółem;2019;[-]";"styczeń-czerwiec;ogółem;2020;[-]";"styczeń-czerwiec;ogółem;2021;[-]";"styczeń-czerwiec;ogółem;2022;[-]";"styczeń-czerwiec;ogółem;2023;[-]";"styczeń-lipiec;ogółem;2005;[-]";"styczeń-lipiec;ogółem;2006;[-]";"styczeń-lipiec;ogółem;2007;[-]";"styczeń-lipiec;ogółem;2008;[-]";"styczeń-lipiec;ogółem;2009;[-]";"styczeń-lipiec;ogółem;2010;[-]";"styczeń-lipiec;ogółem;2011;[-]";"styczeń-lipiec;ogółem;2012;[-]";"styczeń-lipiec;ogółem;2013;[-]";"styczeń-lipiec;ogółem;2014;[-]";"styczeń-lipiec;ogółem;2015;[-]";"styczeń-lipiec;ogółem;2016;[-]";"styczeń-lipiec;ogółem;2017;[-]";"styczeń-lipiec;ogółem;2018;[-]";"styczeń-lipiec;ogółem;2019;[-]";"styczeń-lipiec;ogółem;2020;[-]";"styczeń-lipiec;ogółem;2021;[-]";"styczeń-lipiec;ogółem;2022;[-]";"styczeń-lipiec;ogółem;2023;[-]";"styczeń-sierpień;ogółem;2005;[-]";"styczeń-sierpień;ogółem;2006;[-]";"styczeń-sierpień;ogółem;2007;[-]";"styczeń-sierpień;ogółem;2008;[-]";"styczeń-sierpień;ogółem;2009;[-]";"styczeń-sierpień;ogółem;2010;[-]";"styczeń-sierpień;ogółem;2011;[-]";"styczeń-sierpień;ogółem;2012;[-]";"styczeń-sierpień;ogółem;2013;[-]";"styczeń-sierpień;ogółem;2014;[-]";"styczeń-sierpień;ogółem;2015;[-]";"styczeń-sierpień;ogółem;2016;[-]";"styczeń-sierpień;ogółem;2017;[-]";"styczeń-sierpień;ogółem;2018;[-]";"styczeń-sierpień;ogółem;2019;[-]";"styczeń-sierpień;ogółem;2020;[-]";"styczeń-sierpień;ogółem;2021;[-]";"styczeń-sierpień;ogółem;2022;[-]";"styczeń-sierpień;ogółem;2023;[-]";"styczeń-wrzesień;ogółem;2005;[-]";"styczeń-wrzesień;ogółem;2006;[-]";"styczeń-wrzesień;ogółem;2007;[-]";"styczeń-wrzesień;ogółem;2008;[-]";"styczeń-wrzesień;ogółem;2009;[-]";"styczeń-wrzesień;ogółem;2010;[-]";"styczeń-wrzesień;ogółem;2011;[-]";"styczeń-wrzesień;ogółem;2012;[-]";"styczeń-wrzesień;ogółem;2013;[-]";"styczeń-wrzesień;ogółem;2014;[-]";"styczeń-wrzesień;ogółem;2015;[-]";"styczeń-wrzesień;ogółem;2016;[-]";"styczeń-wrzesień;ogółem;2017;[-]";"styczeń-wrzesień;ogółem;2018;[-]";"styczeń-wrzesień;ogółem;2019;[-]";"styczeń-wrzesień;ogółem;2020;[-]";"styczeń-wrzesień;ogółem;2021;[-]";"styczeń-wrzesień;ogółem;2022;[-]";"styczeń-wrzesień;ogółem;2023;[-]";"styczeń-październik;ogółem;2005;[-]";"styczeń-październik;ogółem;2006;[-]";"styczeń-październik;ogółem;2007;[-]";"styczeń-październik;ogółem;2008;[-]";"styczeń-październik;ogółem;2009;[-]";"styczeń-październik;ogółem;2010;[-]";"styczeń-październik;ogółem;2011;[-]";"styczeń-październik;ogółem;2012;[-]";"styczeń-październik;ogółem;2013;[-]";"styczeń-październik;ogółem;2014;[-]";"styczeń-październik;ogółem;2015;[-]";"styczeń-październik;ogółem;2016;[-]";"styczeń-październik;ogółem;2017;[-]";"styczeń-październik;ogółem;2018;[-]";"styczeń-październik;ogółem;2019;[-]";"styczeń-październik;ogółem;2020;[-]";"styczeń-październik;ogółem;2021;[-]";"styczeń-październik;ogółem;2022;[-]";"styczeń-październik;ogółem;2023;[-]";"styczeń-listopad;ogółem;2005;[-]";"styczeń-listopad;ogółem;2006;[-]";"styczeń-listopad;ogółem;2007;[-]";"styczeń-listopad;ogółem;2008;[-]";"styczeń-listopad;ogółem;2009;[-]";"styczeń-listopad;ogółem;2010;[-]";"styczeń-listopad;ogółem;2011;[-]";"styczeń-listopad;ogółem;2012;[-]";"styczeń-listopad;ogółem;2013;[-]";"styczeń-listopad;ogółem;2014;[-]";"styczeń-listopad;ogółem;2015;[-]";"styczeń-listopad;ogółem;2016;[-]";"styczeń-listopad;ogółem;2017;[-]";"styczeń-listopad;ogółem;2018;[-]";"styczeń-listopad;ogółem;2019;[-]";"styczeń-listopad;ogółem;2020;[-]";"styczeń-listopad;ogółem;2021;[-]";"styczeń-listopad;ogółem;2022;[-]";"styczeń-listopad;ogółem;2023;[-]";"styczeń-grudzień;ogółem;2005;[-]";"styczeń-grudzień;ogółem;2006;[-]";"styczeń-grudzień;ogółem;2007;[-]";"styczeń-grudzień;ogółem;2008;[-]";"styczeń-grudzień;ogółem;2009;[-]";"styczeń-grudzień;ogółem;2010;[-]";"styczeń-grudzień;ogółem;2011;[-]";"styczeń-grudzień;ogółem;2012;[-]";"styczeń-grudzień;ogółem;2013;[-]";"styczeń-grudzień;ogółem;2014;[-]";"styczeń-grudzień;ogółem;2015;[-]";"styczeń-grudzień;ogółem;2016;[-]";"styczeń-grudzień;ogółem;2017;[-]";"styczeń-grudzień;ogółem;2018;[-]";"styczeń-grudzień;ogółem;2019;[-]";"styczeń-grudzień;ogółem;2020;[-]";"styczeń-grudzień;ogółem;2021;[-]";"styczeń-grudzień;ogółem;2022;[-]";"styczeń-grudzień;ogółem;2023;[-]";
0200000;"DOLNOŚLĄSKIE";132;134;347;546;406;366;813;472;208;843;884;602;999;2384;1727;1188;2357;1264;1646;258;415;713;1549;1221;1074;1448;1578;791;1794;2194;1389;2044;3290;4246;2456;4126;3123;2785;1052;912;1517;3392;2136;3113;2952;2932;1741;2961;3657;2792;4038;5122;7504;4328;5521;5131;;2112;1504;2294;5080;3382;4128;3908;4215;2705;4277;4897;4530;5478;6705;9801;5541;8767;7394;;2770;2223;3313;6033;4432;5536;5373;5207;3510;5245;6146;6079;7867;8898;11595;6998;10687;9031;;3471;3192;4286;8124;5483;6316;6724;6565;4308;6001;7393;8032;10403;10703;13337;8803;12864;10896;;3968;4333;5337;9260;6396;7707;8047;7339;5197;7225;8542;9578;12576;11910;15526;10794;14927;12140;;4617;5146;6389;10674;7193;8779;9275;8047;6556;8638;11049;11003;14686;13383;17179;11766;16737;13178;;5465;6439;7474;12249;8522;10734;11891;8981;8529;9892;12432;12643;15805;15725;18914;14527;18268;15551;;5913;7440;8199;13351;9184;11992;12543;9712;10066;10794;14221;13770;16844;17563;22027;15931;20556;16536;;6218;8994;8952;13874;9584;12577;14261;10988;11049;11758;15571;15856;18297;19255;23795;17965;23471;17433;;6448;9794;9343;14588;10180;12922;15255;11376;11700;12275;16860;17051;19229;21000;24590;19860;25207;18734;;
0400000;"KUJAWSKO-POMORSKIE";167;240;333;460;553;319;334;166;259;120;300;309;493;641;469;459;898;400;303;282;468;812;853;790;623;625;510;451;629;533;841;823;1020;1047;1454;1534;1096;560;673;988;1553;1540;1338;1281;1434;1293;1148;1111;1349;1576;1665;2218;2422;2978;2598;2104;;1327;1648;2403;2406;2315;2037;2049;2051;1839;1648;1804;2751;2624;3146;3527;3794;3925;3151;;1723;2384;3221;3565;2666;2827;3210;2614;2491;2344;2270;3415;3726;3760;4296;4439;5403;3931;;2143;2911;4310;4323;3237;3536;4035;3371;2870;3005;2983;4091;4482;4764;5363;5327;6382;4675;;2922;3324;5036;5060;3889;4321;4451;3997;3449;3602;3479;4880;5264;5779;6293;6985;7475;5177;;3412;3895;5737;5540;4379;4899;5016;4455;3956;4237;3834;5424;6163;6672;6923;7616;8866;5752;;3771;4268;6426;6091;4865;5452;5764;5027;4445;4959;4847;5947;6897;7499;7805;9535;9757;6179;;4287;4854;7014;6719;5771;5919;6756;5496;5106;5617;5480;6501;7758;8111;8817;10520;11093;6906;;4588;5512;7716;7053;6448;6286;7110;5892;5475;5876;6116;6870;8100;8796;9791;11208;11932;8065;;4926;6250;8181;7527;6815;6479;7439;6046;5869;6365;6631;7523;8743;9147;10570;11706;13275;8569;;
0600000;"LUBELSKIE";303;213;169;304;143;82;178;283;193;204;151;261;466;550;608;532;437;520;127;361;337;364;1058;501;418;486;530;320;578;404;683;1030;890;920;1270;1821;1099;913;525;584;1017;1613;951;1031;1396;1374;893;1134;1074;1531;1952;1660;1816;2000;3907;2203;;1095;1211;1647;2531;1811;1930;2269;2095;1503;1965;1848;2332;2637;2703;2711;2788;5032;3186;;1739;1782;2611;3144;2705;2794;3120;3004;2154;2897;2643;2882;3289;3623;3750;3587;6182;4272;;2315;2354;3425;3790;3469;3659;3770;3590;2710;3504;3325;3433;3919;4485;4334;4324;7599;5318;;2799;2882;4494;4496;4055;4390;4443;4221;3315;4028;4141;4318;4678;5193;5449;5133;8967;5986;;3387;3724;5113;5152;4668;5010;5477;4667;3898;4612;4933;5209;5311;6245;6304;6344;9568;6484;;3921;4230;5681;5768;5581;5796;6371;5599;4437;5101;6147;5724;5847;7000;6997;7147;10579;7021;;4448;4781;6140;6374;6320;6575;6937;5981;5083;5784;6892;6114;6462;7578;7510;8063;12086;7482;;4645;5202;6785;6706;6779;7080;7260;6361;5476;6143;7260;6640;7117;8166;8613;8575;12874;8021;;4810;5522;7131;7063;7043;7302;7607;6544;5681;6353;7653;6902;7355;8418;9637;9646;13671;8482;;
0800000;"LUBUSKIE";58;48;93;264;81;175;61;96;97;259;296;314;442;195;211;320;416;427;635;169;91;265;473;508;270;185;166;424;375;556;705;900;357;618;667;788;931;796;304;350;540;865;1025;960;742;418;575;873;751;970;1242;758;1427;1024;1299;1282;;474;722;785;1165;1307;1864;1095;1432;870;1041;1281;1301;1852;1124;1951;1444;1944;1673;;697;942;1360;1565;1572;2077;1355;1736;1039;1320;1831;1776;2138;1618;2688;2091;3540;1960;;939;1192;2541;1947;1989;2383;1827;1913;1364;1691;2185;1999;2780;2149;3156;2672;4172;2413;;1277;1557;2791;2276;2276;2849;1996;2172;1496;1820;2427;2267;3072;2499;3624;3198;4591;2975;;1543;1898;3109;2617;2435;3239;2425;2325;1665;2231;2656;2987;3459;3458;3991;3769;4889;3172;;1736;2193;3370;2936;2698;3612;2627;2504;1816;2636;3210;3305;3826;3851;4213;4386;5255;3430;;2061;2465;3665;3170;2869;3813;2911;3022;2008;2927;3443;3883;4243;4366;4805;4713;5582;3637;;2250;2569;3988;3327;3016;3924;3191;3114;2391;3119;3861;4094;4446;4728;5186;5006;5907;3835;;2314;2700;4099;3627;3298;4152;3341;3194;2484;3261;4000;4172;4643;5148;5512;5219;6107;4009;;
1000000;"ŁÓDZKIE";237;62;264;944;204;103;201;197;360;149;556;333;951;311;874;504;699;734;335;441;154;519;1417;521;278;444;400;527;574;919;842;1398;1317;1853;1424;1399;1190;1260;669;606;1048;1920;1035;1244;1348;1195;973;1813;1778;1557;2238;2102;3068;3149;3660;2757;;1151;1155;1633;2687;1821;2652;2174;2091;1711;2402;2334;2276;2921;2928;4421;3765;5076;3853;;1750;1739;2466;3500;3009;3331;3078;2752;2289;3214;2949;2903;3666;4056;5525;4479;7241;5079;;2214;2252;3096;4302;3926;4014;3759;3449;2927;3837;3474;3623;4812;4827;7019;5306;9075;6380;;2755;2780;3927;5116;4702;5046;4523;3991;3432;4358;3968;4406;5472;5770;8056;6066;11191;7407;;3271;3386;4725;5914;5650;5694;5264;4583;4234;4854;4663;5028;6579;6573;8904;7566;12314;8061;;3833;4060;5662;6677;6645;6240;6355;5012;4770;5523;5373;5669;7072;7342;10136;9045;14047;9318;;4239;4383;6587;7344;7121;7024;6885;5591;5500;6145;5997;6628;7843;8343;11278;9896;14959;10148;;4487;5137;7545;8097;7496;7673;7444;5905;5822;6407;6711;7097;8460;9205;12220;11019;16198;10577;;4681;5338;7729;8451;7843;8190;8112;6057;6053;6617;7498;7633;8928;9580;14065;11779;17511;11212;;
1200000;"MAŁOPOLSKIE";331;257;826;1132;478;847;848;985;376;736;772;713;1586;1391;856;1452;1360;971;694;549;974;2478;2046;1336;1755;1505;2130;1271;1671;1864;1794;2880;2610;2079;2510;2898;2936;1300;1037;2650;3746;3497;2656;3397;4259;3553;2969;3613;3451;4384;4839;5121;4576;4409;5597;4908;;2400;4160;6128;5787;4590;4954;6124;7201;4920;5088;7036;6389;6696;7323;6451;5430;8177;6771;;3749;5940;8871;7727;6049;7173;8155;9168;6702;6115;8801;7533;8110;8886;8098;6874;10670;8855;;5371;7182;10695;9926;8893;8892;10309;10913;7794;7659;10891;9597;10015;10556;9781;9163;13093;11120;;6453;8900;14126;12102;10361;11084;12134;12348;10206;9437;12597;10627;11661;12913;12088;11683;15172;12807;;7572;11072;16090;13539;11855;12676;14147;14097;12002;11344;13486;11657;14075;15353;14088;13312;17615;14089;;8636;12378;17617;16181;13920;14408;16187;16188;13670;12713;15355;13305;16404;16986;16419;15651;19463;15574;;9535;14079;19753;17503;15039;15555;17754;17180;15383;15285;16762;14979;17802;19052;18846;17141;21088;16682;;10292;15760;21501;18625;16162;17675;18765;17854;16087;15981;18212;15907;19142;20305;20603;19375;23275;17674;;11039;17255;22556;18989;16880;18780;19777;18090;16523;17521;19373;16553;20558;21003;22525;21100;25921;18230;;
1400000;"MAZOWIECKIE";993;787;2455;2251;1382;620;1445;1495;852;1872;1269;1591;2051;3168;3085;3274;2675;1915;2011;3820;1551;4283;6164;2530;2302;3241;2655;1826;4707;2818;3895;4333;6897;6392;7457;5033;5613;4461;5058;3732;8732;9821;4039;4819;6099;7328;3938;7913;4664;6443;7485;10707;10351;10715;9207;9888;;8737;6611;14298;17030;6527;10511;9318;11562;6236;9599;8150;11846;10389;15439;13813;12980;13421;13454;;11824;9223;18400;21015;9209;14398;12070;14900;8174;12595;12674;14007;15714;19705;16609;15316;19173;17741;;14157;13856;21830;24604;11501;17201;14652;17053;11068;15555;15120;18275;20703;25244;19560;18081;23965;21556;;16436;17898;25646;28636;13788;20165;17715;18991;13414;18211;18657;21469;24720;28244;24208;21392;29402;24501;;19719;20779;30493;32272;16019;23360;19840;20850;16242;21575;21624;25268;29126;33307;28227;25165;35422;26100;;22578;23679;34602;35726;19470;25656;24079;22467;18744;25155;25973;28372;32332;36759;33028;30110;39822;29193;;25308;27281;38758;39002;23090;28039;26801;24439;20706;28732;28378;31875;35830;41357;38400;33877;44322;31922;;27355;29844;43503;40765;25514;29813;29160;26420;22769;31268;31577;35441;39743;44337;42761;38107;47662;34267;;28822;33388;47155;42437;27857;31802;31856;27251;23821;33125;34964;38588;43243;46517;45459;40648;50707;36564;;
1600000;"OPOLSKIE";37;28;93;88;98;45;51;53;57;63;108;111;192;254;170;312;229;309;114;56;91;183;287;204;109;144;94;116;133;201;299;361;452;316;569;456;673;381;156;178;399;691;333;310;332;256;275;361;326;450;569;826;695;834;712;925;;272;284;578;931;503;677;596;425;430;467;521;642;751;1104;1325;1095;1096;1200;;420;459;849;1106;688;984;836;597;574;574;677;905;866;1407;1538;1292;1662;1418;;527;600;1029;1334;836;1204;993;833;685;778;823;1155;1340;1597;1981;1621;2076;1872;;631;776;1351;1596;991;1372;1342;1068;929;913;944;1418;1539;1901;2297;1844;2403;2196;;778;898;1531;1905;1145;1542;1547;1235;1063;1090;1077;1560;1741;2110;2489;2135;2717;2372;;883;1059;2020;2210;1317;1695;1818;1351;1267;1288;1291;1712;2127;2350;2681;2406;3175;2610;;940;1149;2522;2402;1456;1829;2078;1455;1558;1523;1411;1849;2384;2591;2878;2625;3767;2917;;1019;1221;2665;2705;1567;1918;2209;1637;1642;1597;1575;1963;2536;2815;3063;2848;4125;3184;;1114;1274;2979;2764;1635;1982;2284;1683;1785;1650;1613;2025;2599;2879;3241;3261;4243;3288;;
1800000;"PODKARPACKIE";78;63;183;131;113;207;139;145;141;224;249;256;191;295;376;793;1281;582;336;157;129;339;461;316;485;494;400;495;665;547;1032;459;736;794;1404;1753;1150;832;359;415;769;1085;1074;1133;1322;1084;1019;1529;1208;1599;1673;1534;1633;2318;2679;2235;;930;968;1720;1921;2194;2311;2422;2178;1809;2151;2040;2445;2463;2691;2652;3430;3681;2940;;1397;1711;2409;2876;3009;2992;3423;2897;2592;3142;2530;2971;4082;3541;4260;4302;4724;5085;;1981;2416;2979;3776;3851;3712;4535;3567;3108;3765;3284;3556;4904;4383;4960;5571;5952;6389;;2516;2987;3599;4439;4775;4892;5341;4340;3719;4464;3968;4290;5579;5240;6222;6961;6881;7232;;2989;3565;4285;5049;5811;5660;6297;5040;4381;5326;5021;5037;6340;6036;6953;7979;7692;8005;;3350;4018;4960;5688;6516;6392;7028;5746;5108;5916;5661;6128;7004;7361;8209;9205;8664;8616;;3627;4391;5714;6216;7117;6966;7707;6186;5615;6560;6253;7032;8156;8162;9873;10184;9413;9180;;3838;4650;6117;6455;7400;7425;8065;6888;6065;7159;6938;7518;8851;8796;10554;11011;10018;9586;;3995;5122;6578;6709;7717;7615;8419;7453;6468;7592;7159;8108;9457;9245;11109;11560;10446;10146;;
2000000;"PODLASKIE";244;31;52;246;42;41;185;218;52;49;49;72;207;364;1286;684;141;476;105;290;82;134;527;143;122;313;381;629;196;135;270;546;525;1678;1648;313;1020;300;464;208;373;1079;413;457;706;823;794;781;503;526;1085;868;2254;2193;1311;1995;;780;680;974;1682;814;1217;1030;1509;1177;1117;1028;939;1425;1673;3187;2457;2333;2712;;1000;1008;1437;2077;1210;1678;1527;1973;1454;1603;1456;1356;1978;2273;3538;2870;3526;3098;;1416;1453;2088;2619;1579;2000;2075;2395;1718;1824;1796;1795;2686;3772;4733;3310;4219;3730;;1708;2044;2527;3059;1904;2379;2790;2716;2090;2256;2396;2295;3130;4408;5384;3961;5137;4214;;2039;2354;3230;3337;2509;2736;3236;3228;2559;2589;2963;2659;3415;4769;5742;4862;6416;4628;;2372;2727;3781;4223;2946;3353;3459;3431;2944;3295;3409;3402;4070;5376;6241;5958;7040;4838;;2752;3126;4138;4621;3163;3986;3856;4071;3153;3469;3963;3670;4336;5944;6689;6565;7423;5090;;2918;3673;4883;5095;3382;4235;4097;4302;3530;4162;4252;4109;5072;6597;6933;7109;8061;5234;;3230;3796;5108;5333;3853;4629;4304;4486;3627;4570;4746;4405;5325;7066;7390;7353;8378;5304;;
